Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,3.01.2019,Sporting CP,Os Belenenses,2,1,H,0,0,D,12,11,4,4,12,5,4,1,3,4,0,0
P1,5.01.2019,Clube Sport Marítimo,Portimonense SC,2,1,H,1,0,H,9,17,4,8,17,13,2,5,4,4,0,0
P1,6.01.2019,Os Belenenses,Vitória Guimarães,1,0,H,1,0,H,5,16,4,2,17,13,1,5,0,1,0,0
P1,6.01.2019,SL Benfica,Rio Ave FC,4,2,H,2,2,D,11,13,6,5,25,19,5,4,3,3,0,0
P1,6.01.2019,CD Feirense,Santa Clara,2,2,D,0,1,A,6,11,4,3,23,15,8,6,4,2,0,0
P1,6.01.2019,Vitória de Setúbal,GD Chaves,0,0,D,0,0,D,13,12,1,3,22,15,4,8,0,1,0,0
P1,6.01.2019,SC Braga,Boavista FC,1,0,H,1,0,H,9,20,5,3,17,13,6,4,3,4,0,1
P1,7.01.2019,Moreirense FC,CD Aves,1,0,H,0,0,D,17,8,9,4,12,13,5,2,1,1,0,0
P1,7.01.2019,FC Porto,CD Nacional,3,1,H,2,1,H,13,8,4,3,17,10,6,6,0,0,0,0
P1,7.01.2019,CD Tondela,Sporting CP,2,1,H,1,0,H,7,22,5,7,25,16,4,11,5,4,1,0
P1,10.01.2019,Portimonense SC,SC Braga,1,1,D,1,0,H,11,14,5,6,14,11,4,9,3,2,1,0
P1,11.01.2019,CD Aves,CD Feirense,1,1,D,1,0,H,21,7,7,3,18,25,6,1,0,3,0,0
P1,11.01.2019,Vitória Guimarães,Moreirense FC,1,0,H,0,0,D,9,8,3,0,13,19,6,6,3,2,1,0
P1,11.01.2019,Santa Clara,SL Benfica,0,2,A,0,1,A,7,20,5,4,13,16,2,6,3,3,1,0
P1,12.01.2019,Boavista FC,Clube Sport Marítimo,0,1,A,0,0,D,23,8,4,3,20,17,8,3,2,3,0,0
P1,12.01.2019,Sporting CP,FC Porto,0,0,D,0,0,D,12,9,3,1,23,19,7,3,4,4,0,0
P1,13.01.2019,GD Chaves,CD Tondela,2,1,H,1,0,H,12,14,3,3,23,15,4,8,3,1,0,1
P1,13.01.2019,CD Nacional,Os Belenenses,0,1,A,0,0,D,20,11,4,4,16,18,5,6,3,3,0,0
P1,13.01.2019,Rio Ave FC,Vitória de Setúbal,1,1,D,1,0,H,8,14,6,8,17,29,1,9,5,6,1,0
P1,18.01.2019,GD Chaves,FC Porto,1,4,A,0,2,A,10,15,3,6,20,10,5,6,1,2,0,0
P1,18.01.2019,Vitória Guimarães,SL Benfica,0,1,A,0,0,D,10,11,2,3,13,11,6,6,4,2,0,0
P1,18.01.2019,CD Nacional,SC Braga,0,3,A,0,0,D,4,15,0,6,25,13,2,4,2,2,0,0
P1,19.01.2019,Os Belenenses,CD Tondela,2,2,D,1,2,A,13,13,4,3,19,22,2,4,3,0,0,0
P1,19.01.2019,Santa Clara,Clube Sport Marítimo,0,1,A,0,1,A,13,12,1,4,18,19,11,2,1,6,0,0
