Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,22.12.2018,Hannover 96,Fortuna Düsseldorf,0,1,A,0,0,D,17,13,3,6,14,19,4,6,2,3,0,0
D1,22.12.2018,Bayer 04 Leverkusen,Hertha BSC,3,1,H,2,1,H,15,13,7,8,3,12,4,5,0,1,0,0
D1,22.12.2018,1. FC Nürnberg,SC Freiburg,0,1,A,0,1,A,16,7,3,3,16,16,12,3,2,3,0,0
D1,22.12.2018,RB Leipzig,SV Werder Bremen,3,2,H,2,0,H,11,15,5,6,15,9,4,4,2,0,0,0
D1,22.12.2018,VfB Stuttgart,FC Schalke 04 04,1,3,A,0,1,A,17,15,5,6,9,17,2,5,3,5,0,0
D1,23.12.2018,FC Augsburg,VfL Wolfsburg,2,3,A,0,2,A,10,16,4,5,12,11,3,4,2,3,0,0
D1,23.12.2018,TSG 1899 Hoffenheim,1. FSV Mainz 05,1,1,D,1,1,D,28,12,7,5,11,10,9,2,1,0,0,0
D1,18.01.2019,TSG 1899 Hoffenheim,FC Bayern München,1,3,A,0,2,A,13,21,5,9,13,9,2,6,3,2,0,0
D1,19.01.2019,FC Augsburg,Fortuna Düsseldorf,1,2,A,0,1,A,13,11,6,3,13,9,5,3,3,1,0,0
D1,19.01.2019,Eintracht Frankfurt,SC Freiburg,3,1,H,3,0,H,9,21,4,7,13,8,5,5,2,1,0,0
D1,19.01.2019,Hannover 96,SV Werder Bremen,0,1,A,0,1,A,10,23,1,13,17,19,7,8,3,1,0,0
D1,19.01.2019,Bayer 04 Leverkusen,Borussia Mönchengladbach,0,1,A,0,1,A,22,7,10,3,9,14,10,3,1,2,0,0
D1,19.01.2019,RB Leipzig,Borussia Dortmund,0,1,A,0,1,A,12,8,5,4,12,9,6,7,3,2,0,0
D1,19.01.2019,VfB Stuttgart,1. FSV Mainz 05,2,3,A,0,2,A,28,14,8,4,9,16,13,8,2,2,0,0
D1,20.01.2019,1. FC Nürnberg,Hertha BSC,1,3,A,1,1,D,14,16,3,8,13,9,4,4,2,1,0,0
D1,20.01.2019,FC Schalke 04 04,VfL Wolfsburg,2,1,H,1,1,D,20,12,5,5,11,5,4,6,1,0,0,0
D1,25.01.2019,Hertha BSC,FC Schalke 04 04,2,2,D,2,2,D,11,14,4,7,15,10,3,6,2,1,0,0
D1,26.01.2019,Borussia Dortmund,Hannover 96,5,1,H,1,0,H,18,11,9,3,7,10,6,3,1,1,0,0
