Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
F1,22.12.2018,Montpellier HSC,Olympique Lyonnais,1,1,D,0,0,D,13,10,4,3,20,11,6,2,2,1,0,0
F1,22.12.2018,Paris Saint-Germain,FC Nantes,1,0,H,0,0,D,23,11,3,2,7,11,9,1,2,0,0,0
F1,22.12.2018,Stade de Reims,Stade Malherbe Caen,2,2,D,1,2,A,19,7,11,2,9,16,10,2,3,3,0,0
F1,22.12.2018,Stade Rennais FC,Nîmes Olympique,4,0,H,2,0,H,13,18,7,6,11,13,2,7,1,2,0,0
F1,22.12.2018,AS Saint-Étienne,Dijon FCO,3,0,H,1,0,H,18,7,9,2,13,17,5,3,4,3,0,0
F1,22.12.2018,RC Strasbourg Alsace,OGC Nice,2,0,H,2,0,H,11,9,5,4,15,12,2,4,2,0,0,0
F1,23.12.2018,FC Girondins de Bordeaux,Amiens SC,1,1,D,1,0,H,9,8,4,4,10,10,6,6,0,2,0,0
F1,8.01.2019,Amiens SC,Angers SCO,0,0,D,0,0,D,21,7,5,2,13,7,4,7,0,1,0,0
F1,8.01.2019,FC Nantes,Montpellier HSC,2,0,H,0,0,D,16,9,5,2,17,9,4,3,1,2,0,1
F1,11.01.2019,Stade Malherbe Caen,LOSC Lille,1,3,A,0,2,A,9,12,3,7,14,18,4,2,3,1,0,1
F1,11.01.2019,Olympique Lyonnais,Stade de Reims,1,1,D,0,1,A,15,9,5,5,14,7,8,0,0,1,0,0
F1,12.01.2019,Amiens SC,Paris Saint-Germain,0,3,A,0,0,D,4,20,1,9,16,16,1,8,3,0,1,0
F1,12.01.2019,En Avant de Guingamp,AS Saint-Étienne,0,1,A,0,1,A,11,4,2,2,10,12,9,4,0,1,0,0
F1,12.01.2019,OGC Nice,FC Girondins de Bordeaux,1,0,H,1,0,H,9,18,3,4,17,17,5,5,2,3,0,0
F1,13.01.2019,Dijon FCO,Montpellier HSC,1,1,D,0,0,D,13,13,7,6,21,14,3,7,2,0,0,0
F1,13.01.2019,Olympique de Marseille,AS Monaco,1,1,D,1,1,D,14,8,3,3,12,10,6,3,2,1,0,0
F1,13.01.2019,FC Nantes,Stade Rennais FC,0,1,A,0,1,A,24,6,3,1,13,16,4,3,5,3,0,0
F1,13.01.2019,Toulouse Football Club,RC Strasbourg Alsace,1,2,A,1,1,D,17,12,4,5,9,8,7,4,1,1,0,0
F1,15.01.2019,Angers SCO,FC Girondins de Bordeaux,1,2,A,0,1,A,19,9,8,4,10,9,9,7,1,0,0,0
F1,16.01.2019,En Avant de Guingamp,Stade Rennais FC,2,1,H,1,0,H,7,17,2,3,10,14,7,4,2,3,0,0
F1,16.01.2019,AS Monaco,OGC Nice,1,1,D,0,1,A,13,6,5,2,13,9,10,2,2,2,0,1
F1,16.01.2019,Nîmes Olympique,FC Nantes,1,0,H,0,0,D,10,11,2,3,13,11,5,4,0,0,0,0
F1,16.01.2019,AS Saint-Étienne,Olympique de Marseille,2,1,H,0,1,A,11,15,5,4,13,14,4,2,0,0,0,0
F1,16.01.2019,Toulouse Football Club,Olympique Lyonnais,2,2,D,1,0,H,6,22,4,5,12,10,4,10,4,3,0,0
F1,18.01.2019,LOSC Lille,Amiens SC,2,1,H,1,1,D,17,2,3,1,8,18,4,3,0,3,0,0
F1,19.01.2019,AS Monaco,RC Strasbourg Alsace,1,5,A,1,2,A,9,16,5,6,13,9,3,7,4,2,1,1
F1,19.01.2019,Nîmes Olympique,Toulouse Football Club,0,1,A,0,1,A,18,11,6,4,17,13,8,2,3,1,0,0
F1,19.01.2019,Paris Saint-Germain,En Avant de Guingamp,9,0,H,3,0,H,26,2,12,0,11,7,8,1,1,0,0,0
F1,19.01.2019,Stade de Reims,OGC Nice,1,1,D,1,0,H,10,9,2,5,16,10,2,7,0,3,0,0
F1,20.01.2019,Angers SCO,FC Nantes,1,0,H,0,0,D,4,13,3,4,9,20,3,6,2,3,0,0
F1,20.01.2019,FC Girondins de Bordeaux,Dijon FCO,1,0,H,0,0,D,13,10,5,3,12,13,2,2,3,3,0,1
F1,20.01.2019,Stade Malherbe Caen,Olympique de Marseille,0,1,A,0,0,D,9,9,4,1,19,16,5,4,6,3,1,0
F1,20.01.2019,Stade Rennais FC,Montpellier HSC,0,0,D,0,0,D,16,13,1,3,13,18,6,0,2,2,0,0
F1,20.01.2019,AS Saint-Étienne,Olympique Lyonnais,1,2,A,1,0,H,15,23,9,7,18,7,4,4,2,2,0,0
F1,23.01.2019,Nîmes Olympique,Angers SCO,3,1,H,2,0,H,15,11,6,4,12,9,9,2,1,2,0,0
F1,25.01.2019,Olympique de Marseille,LOSC Lille,1,2,A,0,1,A,15,9,5,3,14,7,9,6,5,3,1,0
F1,26.01.2019,Dijon FCO,AS Monaco,2,0,H,1,0,H,13,18,7,5,15,9,3,5,3,2,0,1
F1,26.01.2019,En Avant de Guingamp,Stade de Reims,0,1,A,0,1,A,6,7,2,3,12,13,4,4,1,2,1,0
