Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,9.11.2018,PEC Zwolle,Willem II,2,3,A,0,2,A,20,5,7,3,14,12,7,1,2,1,0,0
N1,10.11.2018,FC Emmen,NAC Breda,2,0,H,0,0,D,19,7,8,3,9,16,9,1,1,2,0,0
N1,10.11.2018,De Graafschap,PSV,1,4,A,1,2,A,10,22,2,7,9,7,5,5,1,0,0,0
N1,10.11.2018,Vitesse,FC Utrecht,2,1,H,0,0,D,17,13,5,7,7,14,5,7,1,3,0,0
N1,10.11.2018,VVV-Venlo,Fortuna Sittard,3,2,H,2,1,H,11,17,6,5,22,9,2,7,2,1,0,0
N1,11.11.2018,ADO Den Haag,AZ Alkmaar,0,1,A,0,0,D,6,8,0,2,13,10,7,3,3,1,0,0
N1,11.11.2018,Excelsior,Ajax,1,7,A,0,2,A,13,29,3,12,5,4,2,15,3,0,0,0
N1,11.11.2018,FC Groningen,SC Heerenveen,2,0,H,2,0,H,11,4,5,2,10,12,3,1,1,2,0,0
N1,11.11.2018,Heracles Almelo,Feyenoord,0,2,A,0,0,D,15,16,3,7,8,12,5,6,2,1,0,0
N1,24.11.2018,Fortuna Sittard,Heracles Almelo,3,0,H,2,0,H,15,14,9,3,10,8,3,4,0,0,0,0
N1,24.11.2018,NAC Breda,Ajax,0,3,A,0,1,A,5,16,3,5,7,6,2,7,4,1,0,0
N1,24.11.2018,PSV,SC Heerenveen,3,0,H,1,0,H,28,4,11,0,8,9,6,2,0,2,0,1
N1,24.11.2018,PEC Zwolle,ADO Den Haag,2,3,A,2,2,D,13,14,4,8,13,8,7,6,1,2,0,0
N1,25.11.2018,FC Emmen,Excelsior,1,2,A,0,0,D,17,9,3,3,14,8,10,6,1,1,0,0
N1,25.11.2018,Feyenoord,FC Groningen,1,0,H,1,0,H,14,10,7,3,12,10,12,2,1,2,0,0
N1,25.11.2018,FC Utrecht,De Graafschap,5,0,H,3,0,H,22,5,6,2,14,16,4,1,0,2,0,0
N1,25.11.2018,VVV-Venlo,AZ Alkmaar,2,2,D,1,2,A,9,17,3,7,10,13,8,9,4,0,1,0
N1,25.11.2018,Willem II,Vitesse,1,3,A,0,3,A,8,11,4,7,8,8,0,5,2,2,0,0
N1,30.11.2018,Excelsior,FC Utrecht,3,3,D,3,0,H,11,22,4,9,10,14,2,6,1,5,0,1
N1,1.12.2018,AZ Alkmaar,Willem II,0,2,A,0,2,A,16,8,7,4,8,14,7,1,2,2,0,0
N1,1.12.2018,De Graafschap,PEC Zwolle,0,2,A,0,1,A,4,26,0,9,15,8,3,7,4,3,1,0
N1,1.12.2018,SC Heerenveen,Fortuna Sittard,3,1,H,1,0,H,18,15,9,5,10,14,7,1,1,3,0,0
N1,1.12.2018,Vitesse,FC Emmen,1,1,D,1,0,H,24,7,8,4,12,15,10,1,1,5,0,0
N1,2.12.2018,Ajax,ADO Den Haag,5,1,H,3,1,H,31,8,12,3,11,10,19,3,0,0,0,0
