Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
T1,21.01.2019,Bursaspor,Fenerbahçe SK,1,1,D,0,1,A,13,5,4,3,18,18,3,7,4,2,0,0
T1,21.01.2019,Kasimpaþa SK,Çaykur Rizespor,0,1,A,0,1,A,22,7,6,2,13,19,10,3,2,4,0,0
T1,25.01.2019,Beþiktaþ JK,BB Erzurumspor,1,1,D,0,0,D,15,10,5,3,15,14,11,2,4,4,1,0
T1,26.01.2019,Göztepe SK,Galatasaray SK,0,1,A,0,0,D,16,9,1,6,17,12,13,3,3,3,0,0
T1,26.01.2019,Kayserispor,Bursaspor,1,1,D,0,1,A,7,12,4,3,15,9,8,7,2,2,1,0
T1,27.01.2019,Atiker Konyaspor,Antalyaspor,2,0,H,1,0,H,11,7,4,2,19,10,5,1,1,1,0,0
T1,27.01.2019,Çaykur Rizespor,Akhisar Belediyespor,3,1,H,0,1,A,25,9,6,4,16,13,6,1,2,1,0,1
T1,27.01.2019,Sivasspor,Trabzonspor,1,1,D,0,0,D,15,15,5,6,11,14,3,5,0,1,0,0
T1,28.01.2019,MKE Ankaragücü,Alanyaspor,0,2,A,0,1,A,8,10,3,3,14,21,4,3,5,1,0,0
T1,28.01.2019,Medipol Baþakþehir FK,Kasimpaþa SK,2,0,H,1,0,H,16,9,5,2,18,9,7,2,2,0,0,0
T1,28.01.2019,Fenerbahçe SK,Yeni Malatyaspor,3,2,H,2,2,D,19,8,8,4,21,20,6,4,6,4,0,0
T1,1.02.2019,Fenerbahçe SK,Göztepe SK,2,0,H,1,0,H,12,6,4,3,16,15,3,2,3,3,0,1
T1,2.02.2019,Alanyaspor,Galatasaray SK,1,1,D,1,0,H,13,5,7,3,22,18,2,3,3,5,0,0
T1,2.02.2019,Kasimpaþa SK,Sivasspor,1,3,A,1,1,D,5,21,3,8,15,10,3,11,3,0,0,0
T1,2.02.2019,Trabzonspor,MKE Ankaragücü,1,0,H,1,0,H,21,13,8,5,19,17,2,5,4,3,0,0
T1,2.02.2019,Yeni Malatyaspor,Kayserispor,1,1,D,1,1,D,7,7,5,4,11,16,4,3,0,3,0,0
T1,3.02.2019,Akhisar Belediyespor,Medipol Baþakþehir FK,0,3,A,0,2,A,22,18,6,6,14,17,5,3,4,3,0,0
T1,3.02.2019,Antalyaspor,Beþiktaþ JK,2,6,A,0,3,A,11,13,4,7,12,14,7,7,3,2,0,0
T1,3.02.2019,BB Erzurumspor,Çaykur Rizespor,0,1,A,0,0,D,10,6,2,1,15,14,17,1,1,1,0,0
T1,4.02.2019,Bursaspor,Atiker Konyaspor,0,0,D,0,0,D,17,4,3,3,11,15,4,4,0,2,0,0
T1,8.02.2019,Kayserispor,Fenerbahçe SK,1,0,H,0,0,D,13,8,5,2,15,18,3,5,2,5,0,2
T1,9.02.2019,Beþiktaþ JK,Bursaspor,2,0,H,1,0,H,11,8,7,3,17,14,4,3,1,1,0,0
T1,9.02.2019,Medipol Baþakþehir FK,BB Erzurumspor,1,1,D,1,0,H,9,13,2,2,21,12,3,6,3,1,0,0
T1,9.02.2019,Çaykur Rizespor,Antalyaspor,1,1,D,1,0,H,20,25,5,4,15,13,7,8,2,1,0,0
T1,10.02.2019,Galatasaray SK,Trabzonspor,3,1,H,2,1,H,18,14,9,4,17,12,4,9,4,1,0,0
T1,10.02.2019,Göztepe SK,Alanyaspor,3,2,H,2,1,H,14,14,7,6,13,14,1,5,8,4,1,0
T1,10.02.2019,Atiker Konyaspor,Yeni Malatyaspor,1,1,D,0,0,D,8,8,4,3,12,18,4,1,0,0,0,0
T1,11.02.2019,MKE Ankaragücü,Kasimpaþa SK,3,0,H,1,0,H,8,15,5,2,16,12,4,4,3,1,0,0
