,HomeTeam,AwayTeam,FTHG,FTAG,FTR
303,Eintracht Frankfurt,Fortuna Düsseldorf,7,1,H
304,FC Augsburg,RB Leipzig,0,0,D
305,Bayer 04 Leverkusen,Hannover 96,2,2,D
306,1. FC Nürnberg,TSG 1899 Hoffenheim,1,3,A
307,FC Schalke 04 04,SV Werder Bremen,0,2,A
308,VfB Stuttgart,Borussia Dortmund,0,4,A
309,VfL Wolfsburg,FC Bayern München,1,3,A
310,Hertha BSC,SC Freiburg,1,1,D
311,Borussia Mönchengladbach,1. FSV Mainz 05,4,0,H
312,SC Freiburg,Borussia Mönchengladbach,3,1,H
313,Borussia Dortmund,Hertha BSC,2,2,D
314,Fortuna Düsseldorf,VfL Wolfsburg,0,3,A
315,Hannover 96,FC Augsburg,1,2,A
316,TSG 1899 Hoffenheim,VfB Stuttgart,4,0,H
317,1. FSV Mainz 05,FC Bayern München,1,2,A
318,1. FC Nürnberg,Eintracht Frankfurt,1,1,D
319,RB Leipzig,FC Schalke 04 04,0,0,D
320,SV Werder Bremen,Bayer 04 Leverkusen,2,6,A
321,VfB Stuttgart,Eintracht Frankfurt,0,3,A
322,FC Augsburg,1. FC Nürnberg,2,2,D
323,FC Bayern München,SC Freiburg,1,1,D
324,Hertha BSC,RB Leipzig,0,3,A
325,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,1,4,A
326,FC Schalke 04 04,Hannover 96,3,1,H
327,VfL Wolfsburg,Borussia Dortmund,0,1,A
328,1. FSV Mainz 05,SV Werder Bremen,2,1,H
329,Borussia Mönchengladbach,Fortuna Düsseldorf,3,0,H
330,Hannover 96,VfL Wolfsburg,2,1,H
331,Borussia Dortmund,FC Bayern München,3,2,H
332,Fortuna Düsseldorf,Hertha BSC,4,1,H
333,SC Freiburg,1. FSV Mainz 05,1,3,A
334,TSG 1899 Hoffenheim,FC Augsburg,2,1,H
335,1. FC Nürnberg,VfB Stuttgart,0,2,A
336,SV Werder Bremen,Borussia Mönchengladbach,1,3,A
337,Eintracht Frankfurt,FC Schalke 04 04,3,0,H
338,RB Leipzig,Bayer 04 Leverkusen,3,0,H
339,Bayer 04 Leverkusen,VfB Stuttgart,2,0,H
340,FC Augsburg,Eintracht Frankfurt,1,3,A
341,FC Bayern München,Fortuna Düsseldorf,3,3,D
342,Hertha BSC,TSG 1899 Hoffenheim,3,3,D
343,1. FSV Mainz 05,Borussia Dortmund,1,2,A
344,FC Schalke 04 04,1. FC Nürnberg,5,2,H
345,VfL Wolfsburg,RB Leipzig,1,0,H
346,SC Freiburg,SV Werder Bremen,1,1,D
347,Borussia Mönchengladbach,Hannover 96,4,1,H
348,Fortuna Düsseldorf,1. FSV Mainz 05,0,1,A
349,Borussia Dortmund,SC Freiburg,2,0,H
350,Hannover 96,Hertha BSC,0,2,A
351,TSG 1899 Hoffenheim,FC Schalke 04 04,1,1,D
352,VfB Stuttgart,FC Augsburg,1,0,H
353,SV Werder Bremen,FC Bayern München,1,2,A
354,Eintracht Frankfurt,VfL Wolfsburg,1,2,A
355,RB Leipzig,Borussia Mönchengladbach,2,0,H
