,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2234,CD Feirense,Vitória de Setúbal,0,1,A
2235,FC Porto,Boavista FC,2,0,H
2236,Os Belenenses,Santa Clara,1,1,D
2237,Vitória Guimarães,GD Chaves,4,0,H
2238,Moreirense FC,SC Braga,1,0,H
2239,CD Nacional,CD Aves,0,0,D
2240,CD Feirense,SL Benfica,1,4,A
2241,Vitória de Setúbal,Clube Sport Marítimo,1,0,H
2242,Sporting CP,Rio Ave FC,3,0,H
2243,CD Tondela,Portimonense SC,3,2,H
2244,GD Chaves,Os Belenenses,2,2,D
2245,CD Aves,Sporting CP,1,3,A
2246,Portimonense SC,FC Porto,0,3,A
2247,Santa Clara,Moreirense FC,1,1,D
2248,SL Benfica,Vitória de Setúbal,4,2,H
2249,Boavista FC,CD Nacional,1,0,H
2250,Clube Sport Marítimo,CD Feirense,2,0,H
2251,Rio Ave FC,Vitória Guimarães,2,1,H
2252,SC Braga,CD Tondela,3,0,H
2253,Vitória Guimarães,CD Aves,0,2,A
2254,CD Nacional,Sporting CP,0,1,A
2255,Vitória de Setúbal,Portimonense SC,1,1,D
2256,CD Tondela,Boavista FC,1,0,H
2257,Os Belenenses,Rio Ave FC,1,3,A
2258,CD Feirense,SC Braga,0,2,A
2259,Moreirense FC,GD Chaves,0,1,A
2260,FC Porto,Santa Clara,1,0,H
2261,SL Benfica,Clube Sport Marítimo,6,0,H
2262,Rio Ave FC,FC Porto,2,2,D
2263,CD Aves,Os Belenenses,3,0,H
2264,Portimonense SC,CD Feirense,1,0,H
2265,Santa Clara,Vitória de Setúbal,0,0,D
2266,Sporting CP,Vitória Guimarães,2,0,H
2267,Boavista FC,Moreirense FC,3,1,H
2268,GD Chaves,CD Nacional,4,1,H
2269,Clube Sport Marítimo,CD Tondela,2,0,H
2270,SC Braga,SL Benfica,1,4,A
2271,Moreirense FC,Rio Ave FC,1,2,A
2272,SL Benfica,Portimonense SC,5,1,H
2273,CD Feirense,GD Chaves,4,4,D
2274,Clube Sport Marítimo,SC Braga,1,0,H
2275,FC Porto,CD Aves,4,0,H
2276,Os Belenenses,Sporting CP,1,8,A
2277,Vitória Guimarães,CD Nacional,2,2,D
2278,CD Tondela,Santa Clara,1,3,A
2279,Vitória de Setúbal,Boavista FC,0,3,A
2280,CD Aves,Moreirense FC,0,1,A
2281,Boavista FC,SC Braga,4,2,H
2282,Portimonense SC,Clube Sport Marítimo,3,2,H
2283,Santa Clara,CD Feirense,4,4,D
2284,Sporting CP,CD Tondela,1,1,D
2285,GD Chaves,Vitória de Setúbal,1,2,A
2286,Vitória Guimarães,Os Belenenses,5,1,H
2287,CD Nacional,FC Porto,0,4,A
2288,Rio Ave FC,SL Benfica,2,3,A
2289,Os Belenenses,CD Nacional,3,0,H
2290,SC Braga,Portimonense SC,2,0,H
2291,SL Benfica,Santa Clara,4,1,H
2292,CD Feirense,CD Aves,2,1,H
2293,Clube Sport Marítimo,Boavista FC,0,1,A
2294,FC Porto,Sporting CP,2,1,H
2295,Vitória de Setúbal,Rio Ave FC,1,3,A
2296,Moreirense FC,Vitória Guimarães,1,3,A
2297,CD Tondela,GD Chaves,5,2,H
2298,MKE Ankaragücü,Galatasaray SK,1,3,A
2299,Fenerbahçe SK,Bursaspor,2,1,H
2300,Çaykur Rizespor,Kasimpaþa SK,2,3,A
2301,Sivasspor,Alanyaspor,1,0,H
2302,Be?ikta? J.K.,Akhisar Belediyespor,2,1,H
2303,Medipol Baþakþehir FK,Trabzonspor,2,0,H
2304,Göztepe SK,Yeni Malatyaspor,1,3,A
2305,Atiker Konyaspor,BB Erzurumspor,3,2,H
2306,Kayserispor,Antalyaspor,2,0,H
2307,Trabzonspor,Sivasspor,3,1,H
2308,Antalyaspor,Atiker Konyaspor,3,3,D
2309,Bursaspor,Kayserispor,0,0,D
2310,Yeni Malatyaspor,Fenerbahçe SK,1,0,H
2311,Akhisar Belediyespor,Çaykur Rizespor,1,1,D
2312,Alanyaspor,MKE Ankaragücü,0,2,A
2313,BB Erzurumspor,Be?ikta? J.K.,1,3,A
2314,Galatasaray SK,Göztepe SK,1,0,H
2315,Kasimpaþa SK,Medipol Baþakþehir FK,2,1,H
2316,Çaykur Rizespor,BB Erzurumspor,0,0,D
2317,MKE Ankaragücü,Trabzonspor,2,2,D
2318,Göztepe SK,Fenerbahçe SK,1,0,H
2319,Kayserispor,Yeni Malatyaspor,0,0,D
2320,Be?ikta? J.K.,Antalyaspor,2,3,A
2321,Atiker Konyaspor,Bursaspor,1,1,D
2322,Sivasspor,Kasimpaþa SK,0,3,A
2323,Medipol Baþakþehir FK,Akhisar Belediyespor,3,1,H
2324,Galatasaray SK,Alanyaspor,6,0,H
2325,Yeni Malatyaspor,Atiker Konyaspor,0,1,A
2326,Akhisar Belediyespor,Sivasspor,1,1,D
2327,Alanyaspor,Göztepe SK,1,0,H
2328,Fenerbahçe SK,Kayserispor,2,3,A
2329,Trabzonspor,Galatasaray SK,4,0,H
2330,Antalyaspor,Çaykur Rizespor,2,1,H
2331,Bursaspor,Be?ikta? J.K.,1,1,D
2332,BB Erzurumspor,Medipol Baþakþehir FK,0,1,A
2333,Kasimpaþa SK,MKE Ankaragücü,2,1,H
2334,Galatasaray SK,Kasimpaþa SK,4,1,H
2335,MKE Ankaragücü,Akhisar Belediyespor,1,0,H
2336,Be?ikta? J.K.,Yeni Malatyaspor,2,1,H
2337,Göztepe SK,Kayserispor,2,0,H
2338,Medipol Baþakþehir FK,Antalyaspor,4,0,H
2339,Atiker Konyaspor,Fenerbahçe SK,0,1,A
2340,Çaykur Rizespor,Bursaspor,1,1,D
2341,Sivasspor,BB Erzurumspor,2,2,D
2342,Alanyaspor,Trabzonspor,1,0,H
2343,Bursaspor,Medipol Baþakþehir FK,0,0,D
2344,BB Erzurumspor,MKE Ankaragücü,0,1,A
2345,Kayserispor,Atiker Konyaspor,0,2,A
2346,Trabzonspor,Göztepe SK,1,2,A
2347,Yeni Malatyaspor,Çaykur Rizespor,1,0,H
2348,Akhisar Belediyespor,Galatasaray SK,3,0,H
2349,Antalyaspor,Sivasspor,2,1,H
2350,Kasimpaþa SK,Alanyaspor,1,2,A
2351,Fenerbahçe SK,Be?ikta? J.K.,1,1,D
2352,Galatasaray SK,BB Erzurumspor,1,0,H
2353,Alanyaspor,Akhisar Belediyespor,2,1,H
2354,Be?ikta? J.K.,Kayserispor,2,0,H
2355,Trabzonspor,Kasimpaþa SK,4,2,H
2356,Göztepe SK,Atiker Konyaspor,3,2,H
2357,Çaykur Rizespor,Fenerbahçe SK,3,0,H
2358,Sivasspor,Bursaspor,2,0,H
2359,MKE Ankaragücü,Antalyaspor,0,1,A
2360,Medipol Baþakþehir FK,Yeni Malatyaspor,1,1,D
2361,Kasimpaþa SK,Göztepe SK,3,1,H
2362,Antalyaspor,Galatasaray SK,0,1,A
2363,Bursaspor,MKE Ankaragücü,1,0,H
2364,BB Erzurumspor,Alanyaspor,1,0,H
2365,Kayserispor,Çaykur Rizespor,2,2,D
2366,Akhisar Belediyespor,Trabzonspor,1,3,A
2367,Fenerbahçe SK,Medipol Baþakþehir FK,0,0,D
2368,Atiker Konyaspor,Be?ikta? J.K.,2,2,D
2369,Yeni Malatyaspor,Sivasspor,4,4,D
2370,Galatasaray SK,Bursaspor,1,1,D
2371,Medipol Baþakþehir FK,Kayserispor,1,0,H
2372,Kasimpaþa SK,Akhisar Belediyespor,5,0,H
2373,Sivasspor,Fenerbahçe SK,0,0,D
2374,Alanyaspor,Antalyaspor,0,1,A
2375,MKE Ankaragücü,Yeni Malatyaspor,1,0,H
2376,Göztepe SK,Be?ikta? J.K.,2,0,H
2377,Çaykur Rizespor,Atiker Konyaspor,1,1,D
2378,Trabzonspor,BB Erzurumspor,0,0,D
2379,Bursaspor,Alanyaspor,2,0,H
2380,Antalyaspor,Trabzonspor,1,1,D
2381,BB Erzurumspor,Kasimpaþa SK,1,1,D
2382,Atiker Konyaspor,Medipol Baþakþehir FK,0,1,A
2383,Fenerbahçe SK,MKE Ankaragücü,1,3,A
2384,Kayserispor,Sivasspor,2,0,H
2385,Yeni Malatyaspor,Galatasaray SK,2,0,H
2386,Akhisar Belediyespor,Göztepe SK,1,0,H
2387,Be?ikta? J.K.,Çaykur Rizespor,4,1,H
2388,Galatasaray SK,Fenerbahçe SK,2,2,D
2389,Akhisar Belediyespor,BB Erzurumspor,1,1,D
2390,Medipol Baþakþehir FK,Be?ikta? J.K.,1,0,H
2391,Kasimpaþa SK,Antalyaspor,1,2,A
2392,Alanyaspor,Yeni Malatyaspor,0,1,A
2393,MKE Ankaragücü,Kayserispor,3,1,H
2394,Trabzonspor,Bursaspor,1,1,D
2395,Göztepe SK,Çaykur Rizespor,2,0,H
2396,Sivasspor,Atiker Konyaspor,0,0,D
2397,Yeni Malatyaspor,Trabzonspor,5,0,H
2398,BB Erzurumspor,Göztepe SK,2,1,H
2399,Kayserispor,Galatasaray SK,0,3,A
2400,Atiker Konyaspor,MKE Ankaragücü,2,0,H
2401,Çaykur Rizespor,Medipol Baþakþehir FK,1,2,A
2402,Antalyaspor,Akhisar Belediyespor,1,2,A
2403,Be?ikta? J.K.,Sivasspor,1,2,A
2404,Bursaspor,Kasimpaþa SK,1,2,A
2405,Fenerbahçe SK,Alanyaspor,2,0,H
2406,Galatasaray SK,Atiker Konyaspor,1,1,D
2407,Alanyaspor,Kayserispor,5,0,H
2408,MKE Ankaragücü,Be?ikta? J.K.,1,4,A
2409,BB Erzurumspor,Antalyaspor,1,0,H
2410,Akhisar Belediyespor,Bursaspor,2,4,A
2411,Kasimpaþa SK,Yeni Malatyaspor,3,0,H
2412,Sivasspor,Çaykur Rizespor,1,1,D
2413,Trabzonspor,Fenerbahçe SK,2,1,H
2414,Göztepe SK,Medipol Baþakþehir FK,0,2,A
2415,Atiker Konyaspor,Alanyaspor,2,0,H
2416,Çaykur Rizespor,MKE Ankaragücü,1,1,D
2417,Antalyaspor,Göztepe SK,1,0,H
2418,Medipol Baþakþehir FK,Sivasspor,0,1,A
2419,Kayserispor,Trabzonspor,0,2,A
2420,Be?ikta? J.K.,Galatasaray SK,1,0,H
2421,Bursaspor,BB Erzurumspor,2,1,H
2422,Fenerbahçe SK,Kasimpaþa SK,2,2,D
2423,Yeni Malatyaspor,Akhisar Belediyespor,1,1,D
2424,Alanyaspor,Be?ikta? J.K.,0,0,D
2425,Galatasaray SK,Çaykur Rizespor,2,2,D
2426,Sivasspor,Göztepe SK,2,0,H
2427,Trabzonspor,Atiker Konyaspor,3,0,H
2428,Akhisar Belediyespor,Fenerbahçe SK,3,0,H
2429,Bursaspor,Antalyaspor,0,2,A
2430,BB Erzurumspor,Yeni Malatyaspor,1,3,A
2431,MKE Ankaragücü,Medipol Baþakþehir FK,0,1,A
2432,Kasimpaþa SK,Kayserispor,0,3,A
2433,Göztepe SK,Bursaspor,0,0,D
2434,Medipol Baþakþehir FK,Galatasaray SK,1,1,D
2435,Atiker Konyaspor,Kasimpaþa SK,3,2,H
2436,Çaykur Rizespor,Alanyaspor,1,1,D
2437,Sivasspor,MKE Ankaragücü,4,0,H
2438,Be?ikta? J.K.,Trabzonspor,2,2,D
2439,Kayserispor,Akhisar Belediyespor,1,0,H
2440,Yeni Malatyaspor,Antalyaspor,2,0,H
2441,Fenerbahçe SK,BB Erzurumspor,2,2,D
2442,Alanyaspor,Medipol Baþakþehir FK,1,1,D
2443,MKE Ankaragücü,Göztepe SK,0,3,A
2444,Kasimpaþa SK,Be?ikta? J.K.,4,1,H
2445,Bursaspor,Yeni Malatyaspor,1,1,D
2446,BB Erzurumspor,Kayserispor,1,1,D
2447,Galatasaray SK,Sivasspor,4,2,H
2448,Trabzonspor,Çaykur Rizespor,4,1,H
2449,Akhisar Belediyespor,Atiker Konyaspor,0,0,D
2450,Antalyaspor,Fenerbahçe SK,0,0,D
2451,Akhisar Belediyespor,Be?ikta? J.K.,1,3,A
2452,Antalyaspor,Kayserispor,0,0,D
2453,BB Erzurumspor,Atiker Konyaspor,1,2,A
2454,Galatasaray SK,MKE Ankaragücü,6,0,H
2455,Yeni Malatyaspor,Göztepe SK,3,2,H
2456,Alanyaspor,Sivasspor,2,0,H
2457,Trabzonspor,Medipol Baþakþehir FK,2,4,A
2458,Bursaspor,Fenerbahçe SK,1,1,D
2459,Kasimpaþa SK,Çaykur Rizespor,0,1,A
2460,Be?ikta? J.K.,BB Erzurumspor,1,1,D
2461,Göztepe SK,Galatasaray SK,0,1,A
2462,Kayserispor,Bursaspor,1,1,D
2463,Atiker Konyaspor,Antalyaspor,2,0,H
2464,Çaykur Rizespor,Akhisar Belediyespor,3,1,H
2465,Sivasspor,Trabzonspor,1,1,D
2466,MKE Ankaragücü,Alanyaspor,0,2,A
2467,Medipol Baþakþehir FK,Kasimpaþa SK,2,0,H
2468,Fenerbahçe SK,Yeni Malatyaspor,3,2,H
2469,Fenerbahçe SK,Göztepe SK,2,0,H
2470,Alanyaspor,Galatasaray SK,1,1,D
2471,Kasimpaþa SK,Sivasspor,1,3,A
2472,Trabzonspor,MKE Ankaragücü,1,0,H
2473,Yeni Malatyaspor,Kayserispor,1,1,D
2474,Akhisar Belediyespor,Medipol Baþakþehir FK,0,3,A
2475,Antalyaspor,Be?ikta? J.K.,2,6,A
2476,BB Erzurumspor,Çaykur Rizespor,0,1,A
2477,Bursaspor,Atiker Konyaspor,0,0,D
2478,Kayserispor,Fenerbahçe SK,1,0,H
2479,Be?ikta? J.K.,Bursaspor,2,0,H
2480,Medipol Baþakþehir FK,BB Erzurumspor,1,1,D
2481,Çaykur Rizespor,Antalyaspor,1,1,D
2482,Galatasaray SK,Trabzonspor,3,1,H
2483,Göztepe SK,Alanyaspor,3,2,H
2484,Atiker Konyaspor,Yeni Malatyaspor,1,1,D
2485,MKE Ankaragücü,Kasimpaþa SK,3,0,H
2486,Sivasspor,Akhisar Belediyespor,2,1,H
2487,Yeni Malatyaspor,Be?ikta? J.K.,1,2,A
2488,Akhisar Belediyespor,MKE Ankaragücü,0,0,D
2489,Bursaspor,Çaykur Rizespor,0,2,A
2490,Fenerbahçe SK,Atiker Konyaspor,1,1,D
2491,BB Erzurumspor,Sivasspor,4,2,H
2492,Kasimpaþa SK,Galatasaray SK,1,4,A
2493,Kayserispor,Göztepe SK,2,1,H
2494,Trabzonspor,Alanyaspor,0,2,A
2495,Antalyaspor,Medipol Baþakþehir FK,0,1,A
2496,Göztepe SK,Trabzonspor,1,3,A
2497,Çaykur Rizespor,Yeni Malatyaspor,3,0,H
2498,Alanyaspor,Kasimpaþa SK,3,0,H
2499,Medipol Baþakþehir FK,Bursaspor,3,0,H
2500,Sivasspor,Antalyaspor,1,2,A
2501,MKE Ankaragücü,BB Erzurumspor,2,1,H
2502,Galatasaray SK,Akhisar Belediyespor,1,0,H
2503,Atiker Konyaspor,Kayserispor,0,1,A
2504,Be?ikta? J.K.,Fenerbahçe SK,3,3,D
2505,Antalyaspor,MKE Ankaragücü,2,4,A
2506,Bursaspor,Sivasspor,3,2,H
2507,Fenerbahçe SK,Çaykur Rizespor,3,2,H
2508,Kayserispor,Be?ikta? J.K.,2,2,D
2509,BB Erzurumspor,Galatasaray SK,1,1,D
2510,Atiker Konyaspor,Göztepe SK,1,1,D
2511,Yeni Malatyaspor,Medipol Baþakþehir FK,0,2,A
2512,Akhisar Belediyespor,Alanyaspor,3,1,H
2513,Kasimpaþa SK,Trabzonspor,2,2,D
2514,Sivasspor,Yeni Malatyaspor,2,0,H
2515,MKE Ankaragücü,Bursaspor,0,0,D
2516,Medipol Baþakþehir FK,Fenerbahçe SK,2,1,H
2517,Trabzonspor,Akhisar Belediyespor,2,1,H
2518,Alanyaspor,BB Erzurumspor,2,1,H
2519,Be?ikta? J.K.,Atiker Konyaspor,3,2,H
2520,Göztepe SK,Kasimpaþa SK,0,0,D
2521,Çaykur Rizespor,Kayserispor,3,0,H
2522,Galatasaray SK,Antalyaspor,5,0,H
2523,Fenerbahçe SK,Sivasspor,2,1,H
2524,Akhisar Belediyespor,Kasimpaþa SK,2,3,A
2525,Antalyaspor,Alanyaspor,3,0,H
2526,Be?ikta? J.K.,Göztepe SK,1,0,H
2527,BB Erzurumspor,Trabzonspor,0,1,A
2528,Atiker Konyaspor,Çaykur Rizespor,0,2,A
2529,Bursaspor,Galatasaray SK,2,3,A
2530,Kayserispor,Medipol Baþakþehir FK,1,1,D
2531,Yeni Malatyaspor,MKE Ankaragücü,3,1,H
2532,Trabzonspor,Antalyaspor,4,1,H
2533,Alanyaspor,Bursaspor,1,0,H
2534,Galatasaray SK,Yeni Malatyaspor,3,0,H
2535,Sivasspor,Kayserispor,1,3,A
2536,MKE Ankaragücü,Fenerbahçe SK,1,1,D
2537,Medipol Baþakþehir FK,Atiker Konyaspor,2,0,H
2538,Göztepe SK,Akhisar Belediyespor,0,1,A
2539,Kasimpaþa SK,BB Erzurumspor,2,1,H
2540,Çaykur Rizespor,Be?ikta? J.K.,2,7,A
2541,Bursaspor,Trabzonspor,0,1,A
2542,Be?ikta? J.K.,Medipol Baþakþehir FK,2,1,H
2543,Atiker Konyaspor,Sivasspor,1,1,D
2544,Çaykur Rizespor,Göztepe SK,1,0,H
2545,Antalyaspor,Kasimpaþa SK,1,0,H
2546,Fenerbahçe SK,Galatasaray SK,1,1,D
2547,Kayserispor,MKE Ankaragücü,0,2,A
2548,Yeni Malatyaspor,Alanyaspor,1,1,D
2549,BB Erzurumspor,Akhisar Belediyespor,2,1,H
2550,Kasimpaþa SK,Bursaspor,1,1,D
2551,Akhisar Belediyespor,Antalyaspor,1,2,A
2552,Galatasaray SK,Kayserispor,3,1,H
2553,Göztepe SK,BB Erzurumspor,0,1,A
2554,Trabzonspor,Yeni Malatyaspor,2,1,H
2555,Alanyaspor,Fenerbahçe SK,1,0,H
2556,MKE Ankaragücü,Atiker Konyaspor,0,0,D
2557,Medipol Baþakþehir FK,Çaykur Rizespor,1,1,D
2558,Sivasspor,Be?ikta? J.K.,1,2,A
2559,Medipol Baþakþehir FK,Göztepe SK,0,2,A
2560,Antalyaspor,BB Erzurumspor,1,1,D
2561,Fenerbahçe SK,Trabzonspor,1,1,D
2562,Çaykur Rizespor,Sivasspor,0,0,D
2563,Be?ikta? J.K.,MKE Ankaragücü,4,1,H
2564,Bursaspor,Akhisar Belediyespor,0,0,D
2565,Kayserispor,Alanyaspor,1,1,D
2566,Atiker Konyaspor,Galatasaray SK,0,0,D
2567,Yeni Malatyaspor,Kasimpaþa SK,2,1,H
2568,Sivasspor,Medipol Baþakþehir FK,0,0,D
2569,MKE Ankaragücü,Çaykur Rizespor,2,2,D
2570,BB Erzurumspor,Bursaspor,2,0,H
2571,Kasimpaþa SK,Fenerbahçe SK,1,3,A
2572,Akhisar Belediyespor,Yeni Malatyaspor,0,2,A
2573,Galatasaray SK,Be?ikta? J.K.,2,0,H
2574,Göztepe SK,Antalyaspor,4,1,H
2575,Alanyaspor,Atiker Konyaspor,2,4,A
2576,Trabzonspor,Kayserispor,4,2,H
2577,Antalyaspor,Bursaspor,0,1,A
2578,Fenerbahçe SK,Akhisar Belediyespor,2,1,H
2579,Göztepe SK,Sivasspor,3,3,D
2580,Çaykur Rizespor,Galatasaray SK,2,3,A
2581,Medipol Baþakþehir FK,MKE Ankaragücü,2,1,H
2582,Kayserispor,Kasimpaþa SK,2,1,H
2583,Atiker Konyaspor,Trabzonspor,2,2,D
2584,Yeni Malatyaspor,BB Erzurumspor,3,1,H
2585,Be?ikta? J.K.,Alanyaspor,2,1,H
2586,Kasimpaþa SK,Atiker Konyaspor,1,1,D
2587,Antalyaspor,Yeni Malatyaspor,3,0,H
2588,Trabzonspor,Be?ikta? J.K.,2,1,H
2589,Akhisar Belediyespor,Kayserispor,2,2,D
2590,Alanyaspor,Çaykur Rizespor,1,1,D
2591,Bursaspor,Göztepe SK,0,0,D
2592,Galatasaray SK,Medipol Baþakþehir FK,2,1,H
2593,MKE Ankaragücü,Sivasspor,3,1,H
2594,BB Erzurumspor,Fenerbahçe SK,0,1,A
2595,Be?ikta? J.K.,Kasimpaþa SK,3,2,H
2596,Medipol Baþakþehir FK,Alanyaspor,1,1,D
2597,Çaykur Rizespor,Trabzonspor,2,3,A
2598,Sivasspor,Galatasaray SK,4,3,H
2599,Atiker Konyaspor,Akhisar Belediyespor,0,0,D
2600,Fenerbahçe SK,Antalyaspor,3,1,H
2601,Göztepe SK,MKE Ankaragücü,2,1,H
2602,Kayserispor,BB Erzurumspor,0,2,A
2603,Yeni Malatyaspor,Bursaspor,1,2,A
2604,Manchester United,Leicester City,2,1,H
2605,Bournemouth,Cardiff City,2,0,H
2606,Fulham,Crystal Palace,0,2,A
2607,Huddersfield Town,Chelsea,0,3,A
2608,Newcastle United,Tottenham Hotspur,1,2,A
2609,Watford,Brighton & Hove Albion,2,0,H
2610,Wolverhampton Wanderers,Everton,2,2,D
2611,Arsenal,Manchester City,0,2,A
2612,Liverpool,West Ham United,4,0,H
2613,Southampton,Burnley,0,0,D
2614,Cardiff City,Newcastle United,0,0,D
2615,Chelsea,Arsenal,3,2,H
2616,Everton,Southampton,2,1,H
2617,Leicester City,Wolverhampton Wanderers,2,0,H
2618,Tottenham Hotspur,Fulham,3,1,H
2619,West Ham United,Bournemouth,1,2,A
2620,Brighton & Hove Albion,Manchester United,3,2,H
2621,Burnley,Watford,1,3,A
2622,Manchester City,Huddersfield Town,6,1,H
2623,Crystal Palace,Liverpool,0,2,A
2624,Arsenal,West Ham United,3,1,H
2625,Bournemouth,Everton,2,2,D
2626,Huddersfield Town,Cardiff City,0,0,D
2627,Liverpool,Brighton & Hove Albion,1,0,H
2628,Southampton,Leicester City,1,2,A
2629,Wolverhampton Wanderers,Manchester City,1,1,D
2630,Fulham,Burnley,4,2,H
2631,Newcastle United,Chelsea,1,2,A
2632,Watford,Crystal Palace,2,1,H
2633,Manchester United,Tottenham Hotspur,0,3,A
2634,Brighton & Hove Albion,Fulham,2,2,D
2635,Chelsea,Bournemouth,2,0,H
2636,Crystal Palace,Southampton,0,2,A
2637,Everton,Huddersfield Town,1,1,D
2638,Leicester City,Liverpool,1,2,A
2639,Manchester City,Newcastle United,2,1,H
2640,West Ham United,Wolverhampton Wanderers,0,1,A
2641,Burnley,Manchester United,0,2,A
2642,Cardiff City,Arsenal,2,3,A
2643,Watford,Tottenham Hotspur,2,1,H
2644,Bournemouth,Leicester City,4,2,H
2645,Chelsea,Cardiff City,4,1,H
2646,Huddersfield Town,Crystal Palace,0,1,A
2647,Manchester City,Fulham,3,0,H
2648,Newcastle United,Arsenal,1,2,A
2649,Tottenham Hotspur,Liverpool,1,2,A
2650,Watford,Manchester United,1,2,A
2651,Everton,West Ham United,1,3,A
2652,Wolverhampton Wanderers,Burnley,1,0,H
2653,Southampton,Brighton & Hove Albion,2,2,D
2654,Brighton & Hove Albion,Tottenham Hotspur,1,2,A
2655,Burnley,Bournemouth,4,0,H
2656,Cardiff City,Manchester City,0,5,A
2657,Crystal Palace,Newcastle United,0,0,D
2658,Fulham,Watford,1,1,D
2659,Leicester City,Huddersfield Town,3,1,H
2660,Liverpool,Southampton,3,0,H
2661,Manchester United,Wolverhampton Wanderers,1,1,D
2662,Arsenal,Everton,2,0,H
2663,West Ham United,Chelsea,0,0,D
2664,Arsenal,Watford,2,0,H
2665,Chelsea,Liverpool,1,1,D
2666,Everton,Fulham,3,0,H
2667,Huddersfield Town,Tottenham Hotspur,0,2,A
2668,Manchester City,Brighton & Hove Albion,2,0,H
2669,Newcastle United,Leicester City,0,2,A
2670,West Ham United,Manchester United,3,1,H
2671,Wolverhampton Wanderers,Southampton,2,0,H
2672,Cardiff City,Burnley,1,2,A
2673,Bournemouth,Crystal Palace,2,1,H
2674,Brighton & Hove Albion,West Ham United,1,0,H
2675,Burnley,Huddersfield Town,1,1,D
2676,Crystal Palace,Wolverhampton Wanderers,0,1,A
2677,Leicester City,Everton,1,2,A
2678,Manchester United,Newcastle United,3,2,H
2679,Tottenham Hotspur,Cardiff City,1,0,H
2680,Watford,Bournemouth,0,4,A
2681,Fulham,Arsenal,1,5,A
2682,Liverpool,Manchester City,0,0,D
2683,Southampton,Chelsea,0,3,A
2684,Bournemouth,Southampton,0,0,D
2685,Cardiff City,Fulham,4,2,H
2686,Chelsea,Manchester United,2,2,D
2687,Huddersfield Town,Liverpool,0,1,A
2688,Manchester City,Burnley,5,0,H
2689,Newcastle United,Brighton & Hove Albion,0,1,A
2690,West Ham United,Tottenham Hotspur,0,1,A
2691,Wolverhampton Wanderers,Watford,0,2,A
2692,Everton,Crystal Palace,2,0,H
2693,Arsenal,Leicester City,3,1,H
2694,Brighton & Hove Albion,Wolverhampton Wanderers,1,0,H
2695,Fulham,Bournemouth,0,3,A
2696,Leicester City,West Ham United,1,1,D
2697,Liverpool,Cardiff City,4,1,H
2698,Southampton,Newcastle United,0,0,D
2699,Watford,Huddersfield Town,3,0,H
2700,Burnley,Chelsea,0,4,A
2701,Crystal Palace,Arsenal,2,2,D
2702,Manchester United,Everton,2,1,H
2703,Tottenham Hotspur,Manchester City,0,1,A
2704,Arsenal,Liverpool,1,1,D
2705,Bournemouth,Manchester United,1,2,A
2706,Cardiff City,Leicester City,0,1,A
2707,Everton,Brighton & Hove Albion,3,1,H
2708,Newcastle United,Watford,1,0,H
2709,West Ham United,Burnley,4,2,H
2710,Wolverhampton Wanderers,Tottenham Hotspur,2,3,A
2711,Chelsea,Crystal Palace,3,1,H
2712,Manchester City,Southampton,6,1,H
2713,Huddersfield Town,Fulham,1,0,H
2714,Cardiff City,Brighton & Hove Albion,2,1,H
2715,Crystal Palace,Tottenham Hotspur,0,1,A
2716,Huddersfield Town,West Ham United,1,1,D
2717,Leicester City,Burnley,0,0,D
2718,Newcastle United,Bournemouth,2,1,H
2719,Southampton,Watford,1,1,D
2720,Arsenal,Wolverhampton Wanderers,1,1,D
2721,Chelsea,Everton,0,0,D
2722,Liverpool,Fulham,2,0,H
2723,Manchester City,Manchester United,3,1,H
2724,Brighton & Hove Albion,Leicester City,1,1,D
2725,Everton,Cardiff City,1,0,H
2726,Fulham,Southampton,3,2,H
2727,Manchester United,Crystal Palace,0,0,D
2728,Tottenham Hotspur,Chelsea,3,1,H
2729,Watford,Liverpool,0,3,A
2730,West Ham United,Manchester City,0,4,A
2731,Bournemouth,Arsenal,1,2,A
2732,Wolverhampton Wanderers,Huddersfield Town,0,2,A
2733,Burnley,Newcastle United,1,2,A
2734,Cardiff City,Wolverhampton Wanderers,2,1,H
2735,Crystal Palace,Burnley,2,0,H
2736,Huddersfield Town,Brighton & Hove Albion,1,2,A
2737,Leicester City,Watford,2,0,H
2738,Manchester City,Bournemouth,3,1,H
2739,Newcastle United,West Ham United,0,3,A
2740,Southampton,Manchester United,2,2,D
2741,Arsenal,Tottenham Hotspur,4,2,H
2742,Chelsea,Fulham,2,0,H
2743,Liverpool,Everton,1,0,H
2744,Bournemouth,Huddersfield Town,2,1,H
2745,Brighton & Hove Albion,Crystal Palace,3,1,H
2746,Watford,Manchester City,1,2,A
2747,West Ham United,Cardiff City,3,1,H
2748,Burnley,Liverpool,1,3,A
2749,Everton,Newcastle United,1,1,D
2750,Fulham,Leicester City,1,1,D
2751,Manchester United,Arsenal,2,2,D
2752,Tottenham Hotspur,Southampton,3,1,H
2753,Wolverhampton Wanderers,Chelsea,2,1,H
2754,Arsenal,Huddersfield Town,1,0,H
2755,Bournemouth,Liverpool,0,4,A
2756,Burnley,Brighton & Hove Albion,1,0,H
2757,Cardiff City,Southampton,1,0,H
2758,Chelsea,Manchester City,2,0,H
2759,Leicester City,Tottenham Hotspur,0,2,A
2760,Manchester United,Fulham,4,1,H
2761,West Ham United,Crystal Palace,3,2,H
